INDIVIDUAL	METRIC	MEAN	SD	SAMPLE_SIZE	EXPERIMENT
1414	PC_CLONES_SMALL	0.9548868603894366	0.011644327340731581	200	gut
1414	P20	0.46925	0.02008370640987103	200	gut
402	N_CLONES	29.1	2.1740091511936384	200	gut
402	N_CLONES_SINGLE	10.45	2.258900524358558	200	gut
402	N_CLONES_SMALL	19.35	2.4978938496682614	200	gut
402	N_CLONES_LARGE	9.75	1.0699237552766379	200	gut
402	PC_CLONES_SMALL	0.6628459292376144	0.04819418625466847	200	gut
402	P20	0.95425	0.01127117889504953	200	gut
938	N_CLONES	49.8	5.961278562964757	200	gut
938	N_CLONES_SINGLE	33.35	5.760802210218917	200	gut
938	N_CLONES_SMALL	44.3	6.224738421897954	200	gut
938	N_CLONES_LARGE	5.5	1.1470786693528088	200	gut
938	PC_CLONES_SMALL	0.88783754092659	0.026529742066613925	200	gut
938	P20	0.85075	0.030273968320898015	200	gut
940	N_CLONES	28.15	2.680828622881955	200	gut
940	N_CLONES_SINGLE	16.7	3.357630743623592	200	gut
940	N_CLONES_SMALL	23.75	2.7886046312580213	200	gut
940	N_CLONES_LARGE	4.4	0.5026246899500346	200	gut
940	PC_CLONES_SMALL	0.8419091141167304	0.02746815837231657	200	gut
940	P20	0.95925	0.013404143114409775	200	gut
999	N_CLONES	130	6.35775531391221	200	gut
999	N_CLONES_SINGLE	113.25	7.952986860293433	200	gut
999	N_CLONES_SMALL	124.95	6.700157107348893	200	gut
999	N_CLONES_LARGE	5.05	1.190974832912761	200	gut
999	PC_CLONES_SMALL	0.9609856016308875	0.00966886230861645	200	gut
999	P20	0.448	0.030796445454493258	200	gut
dash	N_CLONES	69.2	4.730639213512382	200	gut
dash	N_CLONES_SINGLE	38.7	5.894689849436748	200	gut
dash	N_CLONES_SMALL	57.55	4.978638579497728	200	gut
dash	N_CLONES_LARGE	11.65	1.3088765773505315	200	gut
dash	PC_CLONES_SMALL	0.83087573786707	0.022705601706880157	200	gut
dash	P20	0.696	0.027028250327934152	200	gut
1009	N_CLONES	27.5	3.886549003665686	300	gut
1009	N_CLONES_SINGLE	17.65	4.196176204217609	300	gut
1009	N_CLONES_SMALL	22.1	4.063962287433806	300	gut
1009	N_CLONES_LARGE	5.4	0.6805570473787206	300	gut
1009	PC_CLONES_SMALL	0.7994229627862076	0.03930788957011296	300	gut
1009	P20	0.975	0.012955163345552289	300	gut
1015	N_CLONES	60	6.649099662043687	300	gut
1015	N_CLONES_SINGLE	39.45	5.4141627140987225	300	gut
1015	N_CLONES_SMALL	50.85	7.080551569356429	300	gut
1015	N_CLONES_LARGE	9.15	1.268027892769755	300	gut
1015	PC_CLONES_SMALL	0.8451546984797672	0.03086336057728446	300	gut
1015	P20	0.8621666666666666	0.026408287729777425	300	gut
1026	N_CLONES	32.1	3.5377661700124006	300	gut
1026	N_CLONES_SINGLE	18.4	4.070432538764348	300	gut
1026	N_CLONES_SMALL	26.25	3.945350361334746	300	gut
1026	N_CLONES_LARGE	5.85	0.9880869341680844	300	gut
1026	PC_CLONES_SMALL	0.8145823611075508	0.04412822316827926	300	gut
1026	P20	0.9596666666666667	0.01179255390004133	300	gut
1271	N_CLONES	46.9	4.632834757978839	300	gut
1271	N_CLONES_SINGLE	31.45	3.926629732051595	300	gut
1271	N_CLONES_SMALL	43.15	4.727021984516813	300	gut
1271	N_CLONES_LARGE	3.75	0.8506963092234007	300	gut
1271	PC_CLONES_SMALL	0.9192259048344178	0.019992596480609116	300	gut
1271	P20	0.9103333333333333	0.015442782526596116	300	gut
1298	N_CLONES	49.5	5.880386668274549	300	gut
1298	N_CLONES_SINGLE	34.5	6.082762530298219	300	gut
1298	N_CLONES_SMALL	45.15	5.976048685773639	300	gut
1298	N_CLONES_LARGE	4.35	0.6708203932499369	300	gut
1298	PC_CLONES_SMALL	0.9108562845447734	0.016861095365247034	300	gut
1298	P20	0.9016666666666667	0.019601288894248472	300	gut
1301	N_CLONES	84.5	4.370956778314644	300	gut
1301	N_CLONES_SINGLE	36.45	5.889106803868344	300	gut
1301	N_CLONES_SMALL	72.4	6.02975080221746	300	gut
1301	N_CLONES_LARGE	12.1	2.6137289353275373	300	gut
1301	PC_CLONES_SMALL	0.8556741706454901	0.036444447700448225	300	gut
1301	P20	0.6553333333333333	0.018899549795064977	300	gut
1305	N_CLONES	34.55	3.6774562146307486	300	gut
1305	N_CLONES_SINGLE	21.15	3.937338133682116	300	gut
1305	N_CLONES_SMALL	29.05	3.8316548575476395	300	gut
1305	N_CLONES_LARGE	5.5	0.6882472016116853	300	gut
1305	PC_CLONES_SMALL	0.8387971775435454	0.027801673830049254	300	gut
1305	P20	0.9515	0.012258187382102504	300	gut
1403	N_CLONES	191.9	5.6837719129020945	300	gut
1403	N_CLONES_SINGLE	131.65	7.147137815053549	300	gut
1403	N_CLONES_SMALL	186	6.874820571821263	300	gut
1403	N_CLONES_LARGE	5.9	1.970840055995359	300	gut
1403	PC_CLONES_SMALL	0.9690839241196858	0.01077053297694521	300	gut
1403	P20	0.275	0.020102078679864476	300	gut
1409	N_CLONES	176.6	7.279386903044138	300	gut
1409	N_CLONES_SINGLE	128.15	8.652806055354468	300	gut
1409	N_CLONES_SMALL	172.95	7.996545306699967	300	gut
1409	N_CLONES_LARGE	3.65	1.5985190514644287	300	gut
1409	PC_CLONES_SMALL	0.9791734357882599	0.00942487040948936	300	gut
1409	P20	0.38116666666666665	0.023799233365214313	300	gut
1412	N_CLONES	252.8	5.297467120684832	300	gut
1412	N_CLONES_SINGLE	232.95	7.044781569958081	300	gut
1412	N_CLONES_SMALL	249.65	5.412218146301744	300	gut
1412	N_CLONES_LARGE	3.15	0.4893604849295929	300	gut
1412	PC_CLONES_SMALL	0.9875271884431008	0.001996931517287865	300	gut
1412	P20	0.22016666666666668	0.01721807156170788	300	gut
1414	N_CLONES	145.25	7.826237921249264	300	gut
1414	N_CLONES_SINGLE	95.5	9.741392962102763	300	gut
1414	N_CLONES_SMALL	135.15	9.258140088308064	300	gut
1414	N_CLONES_LARGE	10.1	2.1980852911951394	300	gut
1414	PC_CLONES_SMALL	0.929831153403329	0.017629958429350782	300	gut
1414	P20	0.4605	0.029464519251751614	300	gut
402	N_CLONES	33.2	2.98416875492904	300	gut
402	N_CLONES_SINGLE	11	2.7144835701531846	300	gut
402	N_CLONES_SMALL	20.9	3.477748818144471	300	gut
402	N_CLONES_LARGE	12.3	1.7800059136507325	300	gut
402	PC_CLONES_SMALL	0.6264741929767397	0.06573620439790258	300	gut
402	P20	0.9486666666666667	0.012158793415053222	300	gut
938	N_CLONES	69.6	6.604623579855172	300	gut
938	N_CLONES_SINGLE	45.45	7.155969168242839	300	gut
938	N_CLONES_SMALL	62.2	7.000751839323365	300	gut
938	N_CLONES_LARGE	7.4	1.187655806953123	300	gut
938	PC_CLONES_SMALL	0.8923580952410832	0.02264878483625431	300	gut
938	P20	0.8208333333333333	0.025290707444453504	300	gut
940	N_CLONES	33.85	4.132986686086518	300	gut
940	N_CLONES_SINGLE	18.05	4.045465297550359	300	gut
940	N_CLONES_SMALL	28.1	3.9722723180090576	300	gut
940	N_CLONES_LARGE	5.75	1.292692009559488	300	gut
940	PC_CLONES_SMALL	0.8288478547786147	0.03811116892740312	300	gut
940	P20	0.9536666666666667	0.013971566782668763	300	gut
999	N_CLONES	183.8	6.2289646009589745	300	gut
999	N_CLONES_SINGLE	160.35	7.869160324362842	300	gut
999	N_CLONES_SMALL	176.4	6.580673457777307	300	gut
999	N_CLONES_LARGE	7.4	1.142481141154959	300	gut
999	PC_CLONES_SMALL	0.9596517009393655	0.006677719182766501	300	gut
999	P20	0.44216666666666665	0.01842560511832945	300	gut
dash	N_CLONES	88	5.973626245951096	300	gut
dash	N_CLONES_SINGLE	48.3	5.974507246803309	300	gut
dash	N_CLONES_SMALL	70.7	6.241625968995748	300	gut
dash	N_CLONES_LARGE	17.3	1.6575187543592476	300	gut
dash	PC_CLONES_SMALL	0.8025776255750282	0.02257166381670495	300	gut
dash	P20	0.6841666666666667	0.0245396206665087	300	gut
1009	N_CLONES	33.05	4.582288557157071	400	gut
1009	N_CLONES_SINGLE	21.25	4.529145382380305	400	gut
