GROUP	INDIVIDUAL	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
ABX_16	1271	2	1	0.11284442783491457	2.2580213418101898	2.4791923562226517	2.036850327397728	0.0384255761111947	0.034661827961195775	0.04218932426119362	solo
ABX_16	1271	2.0500000000000003	1	0.10896441347731178	2.220054726818261	2.433621052830323	2.006488400806199	0.03777948431965865	0.03414514793717527	0.04141382070214202	solo
ABX_16	1271	2.1	1	0.10543319962723902	2.1854751881336236	2.392120462177834	1.9788299140894134	0.037191031646066415	0.033674473339563055	0.040707589952569775	solo
ABX_16	1271	2.15	1	0.10220952199360422	2.1538801247561032	2.354207106740622	1.9535531427715844	0.036653366881756584	0.033244329265132	0.040062404498381166	solo
ABX_16	1271	2.2	1	0.09925793495100022	2.124924426630955	2.319466404314735	1.9303824489471753	0.036160617162540605	0.032850025082698874	0.039471209242382344	solo
ABX_16	1271	2.25	1	0.09654788550185942	2.0983111297618584	2.287541508129	1.9090807513947172	0.03570772894333827	0.032487526294293516	0.038927931592383024	solo
ABX_16	1271	2.3000000000000003	1	0.09405294761794655	2.0737837436052042	2.258124133576212	1.8894433536341968	0.035290337430636434	0.03215334950495115	0.03842732535632173	solo
ABX_16	1271	2.35	1	0.09175018760400219	2.05111992895018	2.230946992228817	1.8712928656715422	0.03490465899665915	0.03184447600417848	0.03796484198913981	solo
ABX_16	1271	2.4000000000000004	1	0.08961963664160086	2.030126269815257	2.205777529940361	1.854475009690153	0.0345474022108155	0.03155828038987046	0.03753652403176055	solo
ABX_16	1271	2.45	1	0.08764385116458245	2.0106339344819335	2.182412726230904	1.8388551427329631	0.03421569400192183	0.03129247139351746	0.03713891661032621	solo
ABX_16	1271	2.5	1	0.08580754536161418	1.992495061568673	2.1606747600792238	1.8243153630581221	0.03390701815869839	0.031045042638000155	0.03676899367939663	solo
ABX_16	1271	2.5500000000000003	1	0.08409728304887883	1.9755797393369938	2.1404073853104673	1.8107520933635206	0.03361916392551488	0.03081423151043625	0.03642409634059352	solo
ABX_16	1271	2.6	1	0.08250121853637732	1.9597734720380304	2.1214728890499983	1.7980740550260625	0.03335018288628197	0.030598484689068256	0.03610188108349568	solo
ABX_16	1271	2.6500000000000004	1	0.08100887803307384	1.9449750474785934	2.103749530851416	1.7862005641057708	0.03309835267604199	0.03039642914574133	0.03580027620634264	solo
