INDIVIDUAL	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
2-06	2.3000000000000003	NA	3.0481585099725224	64.18320361502329	70.15748451373871	58.20892271630787	0.01913040683170711	0.017349716282122715	0.0209110973812915	gamma
2-06	2.35	NA	2.880831950824931	61.07502511588736	66.72135198501648	55.42869824675823	0.018203985029039138	0.016521044259065545	0.01988692579901273	gamma
2-06	2.4000000000000004	NA	2.732034384609992	58.29374323674962	63.64843223511025	52.93905423838899	0.017374997835119987	0.015778982472435168	0.018971013197804806	gamma
2-06	2.45	NA	2.599160137235135	55.79374880070166	60.888009059734706	50.69948854166861	0.016629851006278815	0.015111458876050393	0.01814824313650724	gamma
2-06	2.5	NA	2.4800270249934027	53.53701662079789	58.397780270470975	48.67625297112481	0.015957210778303987	0.014508414506170667	0.017406007050437305	gamma
2-06	2.5500000000000003	NA	2.3728010487749494	51.4916847208652	56.14228931894297	46.84108012278743	0.015347580389857278	0.01396142399747348	0.016733736782241077	gamma
2-06	2.6	NA	2.275935099044258	49.6309228778169	54.091673703094244	45.170172052539556	0.014792962840880663	0.013463394149135674	0.016122531532625654	gamma
2-06	2.6500000000000004	NA	2.188119082983021	47.93202816703877	52.2206627635703	43.64339357050724	0.014286591311401359	0.013008323478647395	0.015564859144155323	gamma
2-06	2.7	NA	2.108239315784492	46.37569903304479	50.50777216277376	42.24362590331582	0.013822712791470728	0.012591109574775298	0.01505431600816616	gamma
2-06	2.75	NA	2.035345404593812	44.945450174897786	48.934653864000765	40.95624648579481	0.013396413682266833	0.012207394044592906	0.01458543331994076	gamma
2-06	2.8000000000000003	NA	1.9686231852953575	43.6271388782955	47.48556942060492	39.76870833598608	0.01300347861492261	0.01185343714225006	0.014153520087595161	gamma
2-06	2.85	NA	1.9073725492871374	42.408579877643874	46.14696137934701	38.670198375940736	0.012640275656548506	0.011526015928276399	0.013754535384820613	gamma
2-06	2.9000000000000004	NA	1.850989224555163	41.27923081895078	44.90710303485062	37.65135860305094	0.012303662559492888	0.011222341162077229	0.013384983956908547	gamma
2-06	2.95	NA	1.7989497595838657	40.22993425340363	43.75581099218499	36.704057514622264	0.011990909860103923	0.010939989172879893	0.013041830547327955	gamma
2-06	3	NA	1.7507991069321742	39.252705082437195	42.684208276189146	35.821201888685245	0.011699637524735114	0.010676845759236338	0.01272242929023389	gamma
2-06	3.0500000000000003	NA	1.706140322129639	38.34055469861979	41.684528282565445	34.996581114674136	0.01142776253328423	0.01043105979031943	0.012424465276249031	gamma
2-06	3.1	NA	1.6646259885125252	37.48734487675725	40.749951861971184	34.22473789154331	0.011173455330064192	0.010201004666281767	0.012145905993846618	gamma
2-06	3.1500000000000004	NA	1.6259510544307432	36.68766588411021	39.87447139141939	33.50086037680103	0.01093510349340818	0.009985246172261946	0.011884960814554417	gamma
2-06	3.2	NA	1.5898468297718584	35.9367343877189	39.05277691500692	32.82069186043088	0.010711281305988639	0.009782515555848246	0.011640047056129033	gamma
2-06	3.25	NA	1.5560759370896915	35.23030760954939	38.2801604034546	32.18045481564418	0.010500724167952115	0.009591686889691848	0.01140976144621238	gamma
2-06	3.3000000000000003	NA	1.524428051292799	34.56461086940717	37.55243494696363	31.576786791850704	0.01030230700040392	0.009411757963804473	0.011192856037003367	gamma
2-06	3.35	NA	1.494716292833275	33.93627620191299	36.86586630297143	31.006686100854544	0.010115025949621104	0.009241834096818795	0.010988217802423412	gamma
2-06	3.4000000000000004	NA	1.466774164218069	33.34229016855391	36.21711470387516	30.467465633232656	0.009937982831943951	0.009081114370526175	0.010794851293361728	gamma
2-06	3.45	NA	1.4404529396932815	32.779949333020575	35.603185216244256	29.956713449796897	0.00977037186278197	0.008928879883791678	0.010611863841772266	gamma
2-06	3.5	NA	1.4156194341147597	32.246822146383366	35.021385253063265	29.472259039703466	0.00961146829613255	0.008784483695466597	0.010438452896798504	gamma
2-06	3.5500000000000003	NA	1.3921540900970872	31.74071621263317	34.46928809015359	29.01214433511275	0.009460618667767848	0.008647342185035496	0.0102738951505002	gamma
2-06	3.6	NA	1.369949333146071	31.25965008600242	33.94470143961338	28.574598732391458	0.009317232389161373	0.008516927607450845	0.010117537170871901	gamma
2-06	3.6500000000000004	NA	1.3489081531163172	30.80182889810662	33.445640296667044	28.158017499546197	0.009180774482928535	0.008392761657265733	0.009968787308591336	gamma
2-06	3.7	NA	1.328942877384391	30.36562323222551	32.970303409409944	27.760943055041075	0.009050759286107662	0.008274409888609563	0.009827108683605763	gamma
2-06	3.75	NA	1.309974106897767	29.949550759414908	32.517052829614556	27.382048689215264	0.008926744976630626	0.008161476863203633	0.00969201309005762	gamma
2-06	3.8000000000000003	NA	1.2919297909962228	29.55226023090553	32.084396091812486	27.020124369998577	0.008808328802106902	0.008053601919621303	0.009563055684592502	gamma
2-06	3.85	NA	1.274744420802297	29.172517486808093	31.670970641073968	26.67406433254222	0.00869514290958669	0.007950455474260848	0.009439830344912534	gamma
2-06	3.9000000000000004	NA	1.2583583241973753	28.809193195211492	31.275530190284524	26.34285620013846	0.008586850691083938	0.007851735778733361	0.009321965603434516	gamma
2-06	3.95	NA	1.2427170480667054	28.461252080494624	30.896932737679297	26.025571423309952	0.008483143572973471	0.007757166070143495	0.009209121075803448	gamma
2-06	4	NA	1.22777081571097	28.127743436799456	30.53413001686232	25.72135685673659	0.008383738188442525	0.007666492060513386	0.009100984316371663	gamma
2-03	0	3	0.006846923723810581	2.826486495069162	2.8399062189727236	2.8130667711656008	1	0.9952521535386876	1.0047478464613124	beta
2-03	0.05	3	0.006965599752120829	2.818957296161366	2.832609620806244	2.8053049715164877	0.9973361985203428	0.9925060588155556	1.0021663382251298	beta
2-03	0.1	3	0.007091907746385479	2.810721702336292	2.824621586100888	2.7968218185716958	0.9944224772485656	0.9895047520838268	0.9993402024133045	beta
2-03	0.15000000000000002	3	0.007226671228306871	2.8016722893522408	2.815836304687834	2.7875082740166475	0.991220829903058	0.9862096560091432	0.9962320037969729	beta
2-03	0.2	3	0.007370792466640662	2.7916813500739144	2.806127837846049	2.7772348623017797	0.9876860741928306	0.9825749626423822	0.9927971857432791	beta
2-03	0.25	3	0.007525267557607953	2.780597075014975	2.795346328401914	2.7658478216280358	0.983764500508231	0.9785462716531952	0.9889827293632669	beta
2-03	0.30000000000000004	3	0.007691214191541825	2.768239202283791	2.7833137050965964	2.7531646994709855	0.9793923328885582	0.974059032043462	0.9847256337336544	beta
2-03	0.35000000000000003	3	0.007869921288909888	2.7543941794610385	2.769818941748467	2.73896941717361	0.974494017313053	0.9690367960192887	0.9799512386068172	beta
2-03	0.4	3	0.008062934032299886	2.7388099623542064	2.7546130226672365	2.7230069020411762	0.9689803815203404	0.9633893198469169	0.9745714431937638	beta
2-03	0.45	3	0.008272192695096506	2.7211907039105214	2.737403903666086	2.704977504154957	0.9627467559663453	0.9570105885429918	0.9684829233896989	beta
2-03	0.5	3	0.008500247485628129	2.701191777154687	2.717851956086195	2.6845315982231788	0.9556712129588968	0.949776906030287	0.9615655198875065	beta
2-03	0.55	3	0.008750570674798768	2.67841584618532	2.695566649552098	2.661265042818542	0.9476131765914491	0.9415452886334851	0.953681064549413	beta
2-03	0.6000000000000001	3	0.00902797433853693	2.6524110627864323	2.6701055673433167	2.634716558229548	0.938412784711193	0.93215253737311	0.9446730320492761	beta
2-03	0.65	3	0.009339105304056582	2.622672924015075	2.6409772340588527	2.604368613971297	0.927891546126386	0.9214155519634173	0.9343675402893548	beta
2-03	0.7000000000000001	3	0.009692913175419498	2.588651849968419	2.6076496106975147	2.569654089239323	0.9158550215910641	0.9091336872552244	0.922576355926904	beta
2-03	0.75	3	0.010100862127132564	2.549769048302696	2.5695663742846806	2.5299717223207114	0.90209843661054	0.8950942191778648	0.9091026540432152	beta
2-03	0.8	3	0.0105764969944394	2.5054435537832016	2.526173106974899	2.484714000591504	0.8864162479297093	0.8790822121124994	0.8937502837469193	beta
2-03	0.8500000000000001	3	0.011133850048121775	2.455133181085886	2.4769551261894742	2.4333112359822975	0.8686166324760064	0.8608961126215309	0.8763371523304819	beta
2-03	0.9	3	0.011784231882858976	2.3983911006748935	2.421487770750766	2.375294430599021	0.8485415036862599	0.8403699910623134	0.8567130163102066	beta
2-03	0.9500000000000001	3	0.012531355438568753	2.3349373816044316	2.3594983869414965	2.310376376267367	0.8260918230735426	0.8174022342925907	0.8347814118544944	beta
2-03	1	3	0.013363790207258239	2.264888314451471	2.2910808619546463	2.238695766948296	0.8013087337946226	0.7920419116998174	0.8105755558894278	beta
2-03	1.05	3	0.01425857113701288	2.188100932498601	2.2160472183981486	2.1601546465990533	0.7741416547773244	0.7642543668145833	0.7840289427400655	beta
2-03	1.1	3	0.015161592466921916	2.105713990619349	2.1354301658027897	2.0759978154359082	0.7449934730955874	0.7344800051433149	0.7555069410478599	beta
2-03	1.1500000000000001	3	0.01600754296978819	2.018703429201233	2.050077636902995	1.9873292214994709	0.7142094726873397	0.7031093992369641	0.7253095461377151	beta
2-03	1.2000000000000002	3	0.01671914002049492	1.9285956619487625	1.9613645742414147	1.8958267496561103	0.6823296928229516	0.6707361782776609	0.6939232073682423	beta
2-03	1.25	3	0.017221068163274265	1.8372311626732332	1.87098383604856	1.8034784892979063	0.650005286025001	0.638063720610056	0.6619468514399459	beta
2-03	1.3	3	0.017453579889867343	1.746615932164812	1.7808243201502445	1.7124075441793796	0.6179459676215695	0.6058431721385168	0.6300487631046222	beta
2-03	1.35	3	0.01738373027616557	1.6587363638491106	1.6928078491073537	1.6246648785908675	0.5868545159309252	0.57480015610374	0.5989088757581104	beta
2-03	1.4000000000000001	3	0.01701099371430015	1.575373333082499	1.6087142681037645	1.5420323980612336	0.55736099777259	0.5455651037962951	0.569156891748885	beta
2-03	1.4500000000000002	3	0.016365893498065068	1.4979527119130034	1.530029273744029	1.4658761500819777	0.5299698811673783	0.518621317540068	0.5413184447946886	beta
2-03	1.5	3	0.01550266861407499	1.4274583026217302	1.4578429747695767	1.3970736304738838	0.5050292315607903	0.49427925196568057	0.5157792111558999	beta
2-03	1.55	3	0.014488739829399348	1.3644145551055804	1.3928119633525742	1.3360171468585866	0.48272459729979855	0.4726777039937335	0.49277149060586367	beta
2-03	1.6	3	0.013394116995240523	1.3089286040021069	1.335180590917494	1.2826766170867197	0.4630938822051857	0.45380603067602254	0.47238173373434894	beta
2-03	1.6500000000000001	3	0.012283052195678308	1.2607704874756709	1.284844827399426	1.2366961475519158	0.4460557266681087	0.43753831822983985	0.4545731351063776	beta
2-03	1.7000000000000002	3	0.011208893762630769	1.2194685621234533	1.2414375902047452	1.1974995340421615	0.431443265075149	0.423670707831512	0.439215822318786	beta
2-03	1.75	3	0.01021193822772649	1.1844017345958728	1.2044167657345646	1.164386703457181	0.4190367569992198	0.4119555163233459	0.42611799767509356	beta
2-03	1.8	3	0.009319456298888635	1.1548773382638895	1.1731431369652061	1.1366115395625729	0.40859113966353144	0.40212877066471203	0.4150535086623508	beta
2-03	1.85	3	0.008546967752007355	1.130190193785065	1.1469419427560246	1.1134384448141053	0.399856923341645	0.3939302192869173	0.4057836273963728	beta
2-03	1.9000000000000001	3	0.007900059258347211	1.1096631047387944	1.125146936360887	1.0941792731167017	0.39259451855673616	0.38711639876062026	0.39807263835285206	beta
2-03	1.9500000000000002	3	0.007376358262669086	1.0926715832354321	1.107128979767328	1.0782141867035362	0.3865829839065604	0.38146801287906135	0.39169795493405934	beta
2-03	2	3	0.006967528436510981	1.0786564851530596	1.0923125899498798	1.0650003803562393	0.3816244963613971	0.3767930192534599	0.3864559734693343	beta
2-03	2.0500000000000003	3	0.006661252613272466	1.0671281176965266	1.0801839329104639	1.0540723024825893	0.3775458045025666	0.37292670752944707	0.38216490147568616	beta
2-03	2.1	3	0.006443131731555865	1.0576647974182953	1.070293103559792	1.0450364912767987	0.3741977183557762	0.3697298724405288	0.3786655642710236	beta
2-03	2.15	3	0.006298351216110462	1.0499081261951964	1.0622526677407569	1.0375635846496358	0.37145343804995107	0.36708598695223815	0.375820889147664	beta
2-03	2.2	3	0.006212953337139801	1.0435565940868092	1.0557337588652311	1.0313794293083873	0.3692062905332488	0.36489805668898134	0.3735145243775163	beta
2-03	2.25	3	0.006174631559004081	1.0383585819176573	1.0504606373911096	1.026256526444205	0.3673672539136789	0.3630855934512764	0.37164891437608144	beta
2-03	2.3000000000000003	3	0.006173076035259266	1.0341054338459996	1.046204440548935	1.0220064271430642	0.36586250656071	0.3615819247415355	0.3701430883798846	beta
2-03	2.35	3	0.006199980755896181	1.0306249851442941	1.042776724130692	1.0184732461578963	0.3646311372590073	0.360331898961709	0.36893037555630565	beta
