GROUP	INDIVIDUAL	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
ABX_16	1271	0.8500000000000001	1	1.2868386236314955	12.845281421290025	15.36743877752285	10.3231240650572	0.11343914356241466	0.09116548827709807	0.13571279884773127	solo
ABX_16	1271	0.9	1	1.0830165121389652	10.912905963748814	13.035579322203372	8.790232605294257	0.09637396532652284	0.07762822983436443	0.11511970081868125	solo
ABX_16	1271	0.9500000000000001	1	0.9118273190699198	9.337818469555998	11.124967175052753	7.5506697640592435	0.08246406561183378	0.06668141267328338	0.09824671855038418	solo
ABX_16	1271	1	1	0.7701690028545585	8.064016098602364	9.573519606206425	6.5545125909983035	0.07121487259771593	0.057884157645589296	0.08454558754984258	solo
ABX_16	1271	1.05	1	0.6533802389255964	7.031100391437226	8.31170212794157	5.750498654932882	0.06209299590618825	0.05078375639098231	0.07340223542139418	solo
ABX_16	1271	1.1	1	0.5582691815426989	6.1990880040452705	7.293275493547613	5.104900514542928	0.05474533495867241	0.045082355407276266	0.06440831451006855	solo
ABX_16	1271	1.1500000000000001	1	0.48086142454553704	5.526151025852872	6.468622099516749	4.583679952188995	0.04880249945558239	0.040479356667011045	0.05712564224415374	solo
ABX_16	1271	1.2000000000000002	1	0.4178657543752373	4.979829619404181	5.798831448352306	4.1608277904560556	0.043977830347544315	0.03674506813667201	0.051210592558416625	solo
ABX_16	1271	1.25	1	0.3664852225965655	4.533997492037342	5.252295329192755	3.8156996548819286	0.04004060133383973	0.03369717538642583	0.04638402728125363	solo
ABX_16	1271	1.3	1	0.3244109395316562	4.167908975916053	4.8037427335889	3.5320752182432056	0.03680760344342343	0.031192433596001285	0.04242277329084558	solo
ABX_16	1271	1.35	1	0.2897747526072162	3.865229984636694	4.433178063375842	3.297281905897546	0.03413458722688828	0.02911892882852074	0.03915024562525581	solo
ABX_16	1271	1.4000000000000001	1	0.2610849486848866	3.613157263398835	4.124874359726701	3.1014401670709693	0.03190848468582006	0.027389412876504343	0.036427556495135786	solo
ABX_16	1271	1.4500000000000002	1	0.23715986598692568	3.401668880823181	3.866493676735901	2.936844084910461	0.03004079022230919	0.025935833310464618	0.03414574713415376	solo
ABX_16	1271	1.5	1	0.2170671934127187	3.2229123355318854	3.648356216846004	2.797468454217767	0.028462156890818963	0.024704980387846222	0.03221933339379171	solo
ABX_16	1271	1.55	1	0.20007210373660353	3.070718207298987	3.4628523249338916	2.6785840896640827	0.02711810135822835	0.023655089766097787	0.030581112950358914	solo
ABX_16	1271	1.6	1	0.18559472973868368	2.9402201455096195	3.3039791315178846	2.5764611595013545	0.025965647949040663	0.02275322258578491	0.029178073312296417	solo
ABX_16	1271	1.6500000000000001	1	0.1731761980249632	2.8275610259810326	3.1669801370895367	2.4881419148725286	0.024970733659919926	0.021973258399545444	0.027968208920294405	solo
ABX_16	1271	1.7000000000000002	1	0.1624519396928978	2.7296670350629126	3.048066986079665	2.4112670840461603	0.02410621305305703	0.021294362026283042	0.026918064079831015	solo
ABX_16	1271	1.75	1	0.15313092540582735	2.644074388708316	2.944205487423027	2.343943289993605	0.023350327979055206	0.020699812690366096	0.026000843267744312	solo
ABX_16	1271	1.8	1	0.1449795965214906	2.5687964167701134	2.8529512044453833	2.2846416290948435	0.02268553377286275	0.0201761083507294	0.0251949591949961	solo
ABX_16	1271	1.85	1	0.1378094574183065	2.502221427939477	2.772323001208364	2.2321198546705903	0.022097597279458446	0.019712278488723367	0.02448291607019353	solo
ABX_16	1271	1.9000000000000001	1	0.13146749392136636	2.4430339905688925	2.700705543792509	2.185362437345276	0.021574901669703647	0.019299354769684956	0.02385044856972234	solo
ABX_16	1271	1.9500000000000002	1	0.12582876131029236	2.390154025642992	2.636773866030452	2.143534185255532	0.021107908558687615	0.01892996145410458	0.02328585566327065	solo
ABX_16	1271	2	1	0.12079063401246645	2.3426894708017048	2.5794347631358976	2.105944178467512	0.02068873997263836	0.018597996895549185	0.022779483049727538	solo
ABX_16	1271	2.0500000000000003	1	0.11626832782943225	2.2998993127678085	2.5277810478561915	2.0720175776794254	0.020310851881201117	0.018298384577908115	0.02232331918449412	solo
ABX_16	1271	2.1	1	0.1121913981063174	2.261164569813771	2.4810556694773482	2.0412734701501933	0.019968777938038335	0.01802687746854059	0.02191067840753608	solo
ABX_16	1271	2.15	1	0.10850098832326432	2.2259653953648684	2.4386234247654675	2.0133073659642693	0.019657927278358002	0.01777990343943365	0.021535951117282355	solo
ABX_16	1271	2.2	1	0.1051476576625342	2.1938629160011667	2.3999485380784806	1.9877772939238527	0.019374424126826217	0.01755444247735994	0.021194405776292495	solo
ABX_16	1271	2.25	1	0.1020896570438927	2.1644847488164367	2.364576799816512	1.9643926978163613	0.01911497989858645	0.01734792862468637	0.02088203117248653	solo
ABX_16	1271	2.3000000000000003	1	0.0992915540473082	2.1375133922901735	2.33212126219191	1.942905522388437	0.01887679067682407	0.01715817125790115	0.020595410095746985	solo
ABX_16	1271	2.35	1	0.09672313049994676	2.1126768725204608	2.302250724772324	1.9231030202685975	0.018657454607855	0.0169832915641683	0.020331617651541695	solo
ABX_16	1271	2.4000000000000004	1	0.09435849416763763	2.089741168490847	2.2746804186948495	1.9048019182868448	0.018454905007204904	0.01682167102297739	0.020088138991432414	solo
ABX_16	1271	2.45	1	0.09217535937771341	2.068504047614731	2.2491644322570856	1.8878436629723765	0.018267355920119497	0.016671909418222074	0.019862802422016917	solo
ABX_16	1271	2.5	1	0.09015446157594963	2.0487900247242763	2.2254895224587377	1.872090526989815	0.018093257603428944	0.01653279045339175	0.019653724753466134	solo
