INDIVIDUAL	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
2-06	3.75	3	0.3890798185142871	15.005104026376632	15.767686457776016	14.242521594977248	0.13810178345069493	0.13108323871956234	0.14512032818182752	alpha
2-06	3.8000000000000003	3	0.3877243450714728	14.891298445683486	15.651224197952953	14.131372693414018	0.13705435627973112	0.13006026270370233	0.1440484498557599	alpha
2-06	3.85	3	0.38641567529081206	14.780960997456244	15.53832180408796	14.023600190824528	0.13603884859949145	0.12906836189525808	0.1430093353037248	alpha
2-06	3.9000000000000004	3	0.38515161011043636	14.673937721229674	15.428821005633742	13.919054436825606	0.1350538434111472	0.12810615896390423	0.1420015278583902	alpha
2-06	3.95	3	0.38393005468640184	14.570083372165305	15.322572451933146	13.817594292397464	0.1340980039314816	0.1271723549149579	0.14102365294800528	alpha
2-06	4	3	0.38274901433599606	14.469260840421033	15.219435123637789	13.719086557204276	0.13317006824896835	0.12626572381863535	0.14007441267930135	alpha
2-03	0	NA	3.441670894968666	131.268	138.0135510007783	124.52244899922168	1	0.948612373154323	1.0513876268456768	gamma
2-03	0.05	NA	2.9785454392907305	123.26377759887926	129.10161938620513	117.42593581155339	0.939023810821215	0.8945511153636331	0.983496506278797	gamma
2-03	0.1	NA	2.577488969912468	115.89863548355389	120.95042103513157	110.84684993197621	0.882916137090181	0.8444316202880839	0.9214006538922781	gamma
2-03	0.15000000000000002	NA	2.2332841193327684	109.12857574196391	113.50573218310139	104.75141930082644	0.8313418025867989	0.7979966122804221	0.8646869928931756	gamma
2-03	0.2	NA	1.9406271793328596	102.9100569360306	106.71361631494256	99.10649755711864	0.7839691085110659	0.7549935822677167	0.812944634754415	gamma
2-03	0.25	NA	1.6942368305512518	97.20061488087178	100.52125805003352	93.87997171171004	0.7404745625809168	0.715177893406695	0.7657712317551385	gamma
2-03	0.30000000000000004	NA	1.488933163650716	91.95936930212048	94.87762467826316	89.0411139259778	0.7005467387491275	0.6783154609347122	0.722778016563543	gamma
2-03	0.35000000000000003	NA	1.319691336672734	87.14741248266603	89.7339599732541	84.56086499207795	0.6638892379153033	0.6441849117231766	0.6835935641074299	gamma
2-03	0.4	NA	1.181680849924286	82.72808374293642	85.0441356500087	80.41203183586414	0.6302227789174545	0.6125790888553504	0.6478664689795586	gamma
2-03	0.45	NA	1.0703048316327923	78.66713950407224	80.76489842655172	76.56938058159275	0.5992864940737441	0.5833057605935396	0.6152672275539486	gamma
