event	id	n	p
vd_ins	39	38	1.71728e-28
vd_ins	39	39	4.49045e-06
vd_ins	39	40	0.000318854
vd_ins	39	41	1.93739e-06
vd_ins	39	42	4.26364e-08
vd_ins	39	43	2.55906e-25
vd_ins	39	44	0.0
vd_ins	39	45	0.0
vd_ins	39	46	0.0
vd_ins	39	47	0.0
vd_ins	39	48	0.0
vd_ins	39	49	0.0
vd_ins	39	50	0.0
vd_ins	39	51	0.0
vd_ins	39	52	0.0
vd_ins	39	53	0.0
vd_ins	39	54	0.0
vd_ins	39	55	0.0
vd_ins	39	56	0.0
vd_ins	39	57	0.000156832
vd_ins	39	58	7.70483e-06
vd_ins	39	59	2.7108e-06
vd_ins	39	60	6.36642e-10
j_5_del	39	-6	2.9549636687055133e-05
j_5_del	39	-5	0.00015935146990282714
j_5_del	39	-4	0.000543470848921232
j_5_del	39	-3	0.0045687135836449
j_5_del	39	-2	0.009752338425778858
j_5_del	39	-1	0.06658018579526352
j_5_del	39	0	0.16460758666045355
j_5_del	39	1	0.11326786335857715
j_5_del	39	2	0.10450835156337993
j_5_del	39	3	0.17172424577992826
j_5_del	39	4	0.15576537185307818
j_5_del	39	5	0.0774822367997864
j_5_del	39	6	0.0283162482809384
j_5_del	39	7	0.006918358438099359
j_5_del	39	8	0.08615706620449665
j_5_del	39	9	0.001716150192652223
j_5_del	39	10	0.0006183906860053909
j_5_del	39	11	0.0006519794682297962
j_5_del	39	12	0.0008288324085525061
j_5_del	39	13	0.0010241694949485113
j_5_del	39	14	0.000325628429363109
j_5_del	39	15	0.0002957670226388441
j_5_del	39	16	2.171545469884256e-05
j_5_del	39	17	5.51302555646114e-05
j_5_del	39	18	6.216606932302355e-06
j_5_del	39	19	0.00040030226074686735
j_5_del	39	20	0.00367322480282064
v_3_del	39	-6	0.0
v_3_del	39	-5	2.0622562325679002e-05
v_3_del	39	-4	0.00047207369724342325
v_3_del	39	-3	0.0028447149245253646
v_3_del	39	-2	0.056307811887641404
v_3_del	39	-1	0.06810467586478
v_3_del	39	0	0.12539393660259002
v_3_del	39	1	0.1616210271956217
v_3_del	39	2	0.1042582592245
v_3_del	39	3	0.24873823098862602
v_3_del	39	4	0.06919360388943999
v_3_del	39	5	0.10720606548049001
v_3_del	39	6	0.014800648618046496
v_3_del	39	7	0.025751014222300167
v_3_del	39	8	0.007656265867355519
v_3_del	39	9	0.002669068055521533
v_3_del	39	10	0.0007650097094038447
v_3_del	39	11	0.000341939266674473
v_3_del	39	12	0.0006522035112601379
v_3_del	39	13	6.0960914533763205e-05
v_3_del	39	14	1.9656963570999998e-05
v_3_del	39	15	0.0001083246689076
v_3_del	39	16	0.00016803606586578927
v_3_del	39	17	5.252283940803078e-08
v_3_del	39	18	0.00045267397966800005
v_3_del	39	19	4.5507614807188e-05
v_3_del	39	20	0.002346317701887
d_3_del	39	-6	0.00033972517641610447
d_3_del	39	-5	8.286043998061458e-07
d_3_del	39	-4	0.0017639177676771185
d_3_del	39	-3	0.0045364838034061515
d_3_del	39	-2	0.03550985609438412
d_3_del	39	-1	0.05426693681353022
d_3_del	39	0	0.16334805597241261
d_3_del	39	1	0.1609881360288337
d_3_del	39	2	0.13678233204071186
d_3_del	39	3	0.11371231347817401
d_3_del	39	4	0.08684133388891863
d_3_del	39	5	0.07431725527291982
d_3_del	39	6	0.04339995866538071
d_3_del	39	7	0.022640201411098376
d_3_del	39	8	0.019908552666685078
d_3_del	39	9	0.014692234425339207
d_3_del	39	10	0.006705834468099739
