REPLICATE	NSEQS	NREADS	NREADS_RAW	STAGE	CLUSTER_BARCODES	CLUSTER_SETS	NREADS_PC
1271	1798861	1798861	2009279	presto_correct	0.9	0.75	0.895276862994139
1274	1406570	1406570	1574800	presto_correct	0.9	0.75	0.893173736347473
1298	986111	986111	1151409	presto_correct	0.9	0.75	0.856438502738818
1301	1193929	1193929	1407185	presto_correct	0.9	0.75	0.848452051436023
1305	1096908	1096908	1227708	presto_correct	0.9	0.75	0.893460008405908
1309	2401700	2401700	2645261	presto_correct	0.9	0.75	0.90792553173392
1403	1070538	1070538	1236189	presto_correct	0.9	0.75	0.865998645838136
1409	1008070	1008070	1121785	presto_correct	0.9	0.75	0.89863030794671
1412	944233	944233	1060432	presto_correct	0.9	0.75	0.890422959699443
1414	1033869	1033869	1159283	presto_correct	0.9	0.75	0.891817614853319
402	1120473	1120473	1302770	presto_correct	0.9	0.75	0.86006969764425
938	932150	932150	1040224	presto_correct	0.9	0.75	0.8961050696773
940	1171959	1171959	1351036	presto_correct	0.9	0.75	0.8674520886194
999	824844	824844	904879	presto_correct	0.9	0.75	0.91155171022866
dash	775124	775124	862614	presto_correct	0.9	0.75	0.898575724483952
1009	83709	1605743	1796877	presto_consensus	0.9	0.75	0.893629892307598
1015	44667	720462	825963	presto_consensus	0.9	0.75	0.872269096799736
1026	56769	1046044	1260031	presto_consensus	0.9	0.75	0.830173225896823
1271	69705	1744827	2009279	presto_consensus	0.9	0.75	0.868384629511382
1274	71539	1352788	1574800	presto_consensus	0.9	0.75	0.859022098044196
1298	60326	977495	1151409	presto_consensus	0.9	0.75	0.848955497134381
1301	69732	1144020	1407185	presto_consensus	0.9	0.75	0.812984788780438
1305	84025	1075164	1227708	presto_consensus	0.9	0.75	0.875748956592284
1309	70847	2313577	2645261	presto_consensus	0.9	0.75	0.87461199480883
1403	61678	1050029	1236189	presto_consensus	0.9	0.75	0.849408140664575
1409	47201	986166	1121785	presto_consensus	0.9	0.75	0.879104284689134
1412	58683	929869	1060432	presto_consensus	0.9	0.75	0.876877536702023
1414	55352	1005091	1159283	presto_consensus	0.9	0.75	0.866993650385626
402	48609	1110500	1302770	presto_consensus	0.9	0.75	0.852414470704729
938	69480	901541	1040224	presto_consensus	0.9	0.75	0.866679676685022
940	62395	1132926	1351036	presto_consensus	0.9	0.75	0.838560926577826
999	69845	796008	904879	presto_consensus	0.9	0.75	0.879684466099887
dash	59637	730809	862614	presto_consensus	0.9	0.75	0.847202804498884
1009	76948	1598971	1796877	presto_merged	0.9	0.75	0.889861131285002
1015	41975	717768	825963	presto_merged	0.9	0.75	0.869007449486236
1026	52758	1042026	1260031	presto_merged	0.9	0.75	0.826984415462794
1271	60980	1736090	2009279	presto_merged	0.9	0.75	0.864036303569589
1274	60798	1342023	1574800	presto_merged	0.9	0.75	0.852186309372619
1298	57311	974470	1151409	presto_merged	0.9	0.75	0.846328281262349
1301	63908	1138185	1407185	presto_merged	0.9	0.75	0.808838212459627
1305	80655	1071791	1227708	presto_merged	0.9	0.75	0.873001560631681
1309	51442	2294152	2645261	presto_merged	0.9	0.75	0.867268674055226
1403	56160	1044492	1236189	presto_merged	0.9	0.75	0.844929052110964
1409	42096	981058	1121785	presto_merged	0.9	0.75	0.874550827475853
1412	53786	924970	1060432	presto_merged	0.9	0.75	0.872257721381475
1414	51979	1001703	1159283	presto_merged	0.9	0.75	0.864071154325562
402	44258	1106141	1302770	presto_merged	0.9	0.75	0.849068523223593
938	67151	899209	1040224	presto_merged	0.9	0.75	0.864437851847294
940	57874	1128388	1351036	presto_merged	0.9	0.75	0.835202022744028
999	65768	791928	904879	presto_merged	0.9	0.75	0.875175575960985
dash	56146	727316	862614	presto_merged	0.9	0.75	0.843153484640871
1009	63736	1590721	1796877	presto_collapsed	0.9	0.75	0.885269832047491
1015	34331	715377	825963	presto_collapsed	0.9	0.75	0.866112646692406
1026	40239	1036141	1260031	presto_collapsed	0.9	0.75	0.822313895451779
1271	51497	1722025	2009279	presto_collapsed	0.9	0.75	0.857036280178114
1274	51879	1335077	1574800	presto_collapsed	0.9	0.75	0.847775590551181
1298	45037	969417	1151409	presto_collapsed	0.9	0.75	0.841939745129663
1301	48676	1132903	1407185	presto_collapsed	0.9	0.75	0.805084619293128
1305	56582	1066270	1227708	presto_collapsed	0.9	0.75	0.868504562974258
1309	44077	2269872	2645261	presto_collapsed	0.9	0.75	0.858089995656383
1403	45306	1037641	1236189	presto_collapsed	0.9	0.75	0.839387019298829
1409	34970	977521	1121785	presto_collapsed	0.9	0.75	0.871397816872217
1412	46968	921381	1060432	presto_collapsed	0.9	0.75	0.868873251655929
1414	39239	997143	1159283	presto_collapsed	0.9	0.75	0.860137688554046
402	36159	1100420	1302770	presto_collapsed	0.9	0.75	0.844677111078702
938	51351	894979	1040224	presto_collapsed	0.9	0.75	0.860371420001846
940	42795	1123316	1351036	presto_collapsed	0.9	0.75	0.831447866674167
999	52865	785987	904879	presto_collapsed	0.9	0.75	0.868610057256274
dash	45605	723384	862614	presto_collapsed	0.9	0.75	0.838595246541327
1009	5579	1532564	1796877	presto_split	0.9	0.75	0.852904233289201
1015	4509	685555	825963	presto_split	0.9	0.75	0.830006913142598
1026	7666	1003568	1260031	presto_split	0.9	0.75	0.796462944165659
1271	15366	1685894	2009279	presto_split	0.9	0.75	0.839054208001975
1274	17875	1301073	1574800	presto_split	0.9	0.75	0.826183007366015
