INDIVIDUAL	REPLICATE	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
2-03	2-03bio	1.35	1	0.9962934624301784	38.42069349797937	40.37339280237523	36.467994193583515	0.3533018551964815	0.3353455867360952	0.3712581236568678	solo
2-03	2-03bio	1.4000000000000001	1	0.9860572030127132	37.47744518984666	39.41008179444788	35.54480858524544	0.34462810813900696	0.3268563285155561	0.36239988776245785	solo
2-03	2-03bio	1.4500000000000002	1	0.9762742869658604	36.59035237259263	38.50381481407824	34.67688993110703	0.33647074528235255	0.31887528385578545	0.35406620670891964	solo
2-03	2-03bio	1.5	1	0.9669430553104255	35.75538398860208	37.65055755211163	33.860210425092525	0.32879269857791743	0.31136541460808315	0.3462199825477517	solo
2-03	2-03bio	1.55	1	0.958061879006455	34.96880292750331	36.84656970531673	33.09103614968989	0.32155960300239833	0.3042923851094498	0.3388268208953468	solo
2-03	2-03bio	1.6	1	0.9496285003763957	34.2271485062612	36.088386165691716	32.36591084683069	0.3147396354514927	0.2976244129458671	0.3318548579571182	solo
2-03	2-03bio	1.6500000000000001	1	0.9416396399892948	33.52721901394634	35.372798794740625	31.68163923315206	0.30830335422833943	0.2913321155258931	0.32527459293078576	solo
2-03	2-03bio	1.7000000000000002	1	0.9340907933570456	32.866054564690664	34.69683887796092	31.03527025142041	0.30222354136592255	0.2853883560672237	0.31905872666462143	solo
2-03	2-03bio	1.75	1	0.9269761604343916	32.24092044596501	34.05776033494364	30.42408055698638	0.29647504950426457	0.27976809174451256	0.3131820072640165	solo
2-03	2-03bio	1.8	1	0.9202886653762951	31.649291100841094	33.453023740359065	29.845558461323122	0.29103465459749506	0.27444822604035146	0.30762108315463865	solo
2-03	2-03bio	1.85	1	0.9140200351370782	31.088834841987378	32.880281192004084	29.297388491970672	0.2858809153496621	0.2694074667644835	0.30235436393484066	solo
2-03	2-03bio	1.9000000000000001	1	0.9081609139998964	30.557399361231585	32.33736204483836	28.777436677624813	0.28099403996626665	0.2646261907411647	0.2973618891913686	solo
2-03	2-03bio	1.9500000000000002	1	0.9027009975755615	30.05299807090471	31.82225951496119	28.28373662684823	0.2763557605545388	0.2600863157943698	0.2926252053147078	solo
2-03	2-03bio	2	1	0.8976291746659978	29.57379729111575	31.33311814493352	27.81447643729798	0.27194921530256555	0.2557711803701049	0.2881272502350263	solo
2-03	2-03bio	2.0500000000000003	1	0.8929336690138797	29.118104279834363	30.868222111684776	27.36798644798395	0.26775883840855524	0.2516654309109078	0.28385224590620267	solo
2-03	2-03bio	2.1	1	0.8886021756429952	28.684356089463325	30.42598435030753	26.94272782861912	0.2637702576101825	0.2477549169279213	0.27978559829244376	solo
2-03	2-03bio	2.15	1	0.8846219884574041	28.271109223792536	30.004936461101256	26.537281986483816	0.25997019907393304	0.24402659359050843	0.2759138045573577	solo
2-03	2-03bio	2.2	1	0.8809801171857149	27.877030062245527	29.603719363025405	26.15034076146565	0.25634639934017356	0.24046843156362813	0.27222436711671905	solo
2-03	2-03bio	2.25	1	0.8776633927642361	27.500886013626175	29.22107465399331	25.78069737325904	0.25288752397642406	0.2370693337617788	0.2687057141910693	solo
2-03	2-03bio	2.3000000000000003	1	0.8746585609530894	27.141537358694517	28.855836636932203	25.42723808045683	0.24958309256483613	0.23381905864922717	0.2653471264804451	solo
2-03	2-03bio	2.35	1	0.8719523644518563	26.797929739455817	28.506924970015998	25.088934508895637	0.24642340963659687	0.23070814969443562	0.2621386695787581	solo
2-03	2-03bio	2.4000000000000004	1	0.8695316140865296	26.46908725271197	28.17333789974055	24.76483660568339	0.2433995011628954	0.22772787057802146	0.25907113174776936	solo
2-03	2-03bio	2.45	1	0.8673832498233226	26.15410610592984	27.85414603637686	24.454066175482822	0.24050305621673915	0.22487014575491687	0.2561359666785614	solo
2-03	2-03bio	2.5	1	0.8654943924617942	25.85214879460515	27.548486632651642	24.155810956558657	0.23772637343024114	0.22212750597998718	0.25332524088049513	solo
2-03	2-03bio	2.5500000000000003	1	0.8638523868957635	25.562438761867764	27.25555832814242	23.869319195593107	0.2350623118864136	0.21949303842013018	0.25063158535269703	solo
2-03	2-03bio	2.6	1	0.8624448378247699	25.28425550293959	26.974616323728625	23.593894682150555	0.23250424610165374	0.21696034099313138	0.2480481512101761	solo
2-03	2-03bio	2.6500000000000004	1	0.8612596387656667	25.016930079110274	26.70496795242896	23.32889220579159	0.23004602477399733	0.21452348059303974	0.2455685689549549	solo
2-03	2-03bio	2.7	1	0.8602849951635722	24.75984100805006	26.445968615010877	23.073713401089243	0.22768193299202336	0.21217695488254207	0.24318691110150464	solo
