GROUP	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
YI_16	0.8	NA	1.4618295078793881	74.19474056233534	77.05987374931685	71.32960737535383	0.5036126968425952	0.48416499151775894	0.5230604021674315	gamma
YI_16	0.8500000000000001	NA	1.4186763735798438	71.85225055604312	74.6328051539775	69.07169595810873	0.4877125440763151	0.4688389340445189	0.5065861541081114	gamma
YI_16	0.9	NA	1.3829212699214501	69.66556592326698	72.37604180576741	66.95509004076655	0.4728699536620871	0.45447201792476877	0.4912678893994055	gamma
YI_16	0.9500000000000001	NA	1.3532890781616167	67.62187029760194	70.27426815147012	64.96947244373376	0.4589979317671946	0.4409942130916937	0.4770016504426956	gamma
YI_16	1	NA	1.3287399145026202	65.7131250775329	68.31740745477886	63.10884270028693	0.4460419146616861	0.42836479009188483	0.4637190392314873	gamma
YI_16	1.05	NA	1.3082284042555778	63.91750140858333	66.48158196447656	61.353420852690085	0.43385373431924884	0.4164494882246061	0.4512579804138915	gamma
YI_16	1.1	NA	1.2911317536634572	62.236324647147626	64.76689638362404	59.70575291067121	0.42244238688035046	0.4052655890763361	0.43961918468436484	gamma
YI_16	1.1500000000000001	NA	1.2767810831244428	60.65699243090933	63.15943736997527	58.15454749184338	0.41172233111087275	0.39473644997008916	0.4287082122516564	gamma
YI_16	1.2000000000000002	NA	1.2646653110705872	59.171410589433364	61.65010905162886	56.69271212723787	0.40163862609491513	0.3848139292532691	0.4184633229365611	gamma
YI_16	1.25	NA	1.2543679178546947	57.77222348643774	60.23073942879544	55.31370754408004	0.39214134387536226	0.37545364021096245	0.408829047539762	gamma
YI_16	1.3	NA	1.2455506245826935	56.45274840162255	58.893982766726	54.0115140365191	0.38318512405649113	0.3666147228000618	0.3997555253129204	gamma
YI_16	1.35	NA	1.2379393423119853	55.206913571759344	57.63323009773604	52.78059704578265	0.3747287532445909	0.3582596100171909	0.39119789647199077	gamma
