INDIVIDUAL	REPLICATE	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
2-03	2-03orig	0.7000000000000001	1	22.59327958501134	992.3690607587556	1036.6510750380219	948.0870464794893	0.7241259983193359	0.6918136670853818	0.7564383295532899	solo
2-03	2-03orig	0.75	1	23.138232099645702	955.7045793214247	1001.0546809026589	910.3544777401905	0.6973721370055134	0.6642804286079481	0.7304638454030787	solo
2-03	2-03orig	0.8	1	23.72019292377132	917.5983473553905	964.0890711923241	871.1076235184569	0.669566238619791	0.6356422247198937	0.7034902525196884	solo
2-03	2-03orig	0.8500000000000001	1	24.3298779940185	878.1111163540859	925.7968009706158	830.425431737556	0.640752633177655	0.6059566632669404	0.6755486030883695	solo
2-03	2-03orig	0.9	1	24.953373893556645	837.3461296179833	886.2538437421163	788.4384154938502	0.6110066567218948	0.5753189789051597	0.6466943345386299	solo
2-03	2-03orig	0.9500000000000001	1	25.571762151464597	795.4552941540619	845.575026992157	745.3355613159669	0.5804391549221612	0.5438670740179716	0.617011235826351	solo
2-03	2-03orig	1	1	26.160051096794014	752.7301311368598	804.0028891203035	701.457373153416	0.5492628491035048	0.5118494123797125	0.5866762858272971	solo
2-03	2-03orig	1.05	1	26.693498375308124	709.1717981880065	761.4900936249888	656.8535027510242	0.5174785839757731	0.4793022245831251	0.5556549433684211	solo
2-03	2-03orig	1.1	1	27.137669415171217	665.3530280890127	718.5418827671024	612.164173410923	0.48550427935688595	0.44669267789101075	0.5243158808227613	solo
2-03	2-03orig	1.1500000000000001	1	27.461863699395252	621.5478276346438	675.3720914338064	567.7235638354812	0.4535398764296672	0.41426462058123154	0.49281513227810286	solo
2-03	2-03orig	1.2000000000000002	1	27.636169932271336	578.1516834602386	632.3175811981191	523.9857857223581	0.4218739595181965	0.38234941534879613	0.46139850368759683	solo
2-03	2-03orig	1.25	1	27.635625960927655	535.5785545752965	589.7433861489349	481.4137230016582	0.3908085921317773	0.35128482593629495	0.4303323583272598	solo
2-03	2-03orig	1.3	1	27.443119183250463	494.2404029304082	548.0279281530194	440.45287770779703	0.3606443805373091	0.32139593261696603	0.3998928284576521	solo
2-03	2-03orig	1.35	1	27.05164466678298	454.52486650222704	507.5451157716967	401.50461723275737	0.33166418193775205	0.2929756108692026	0.37035275300630144	solo
2-03	2-03orig	1.4000000000000001	1	26.46545744110596	416.7736779836108	468.64502140255604	364.9023345646656	0.304117356714399	0.2662671356397015	0.34196757778909653	solo
2-03	2-03orig	1.4500000000000002	1	25.699843145951053	381.26456669622127	431.6353336706139	330.89379972182866	0.2782065623565485	0.24145130328634493	0.3149618214267521	solo
2-03	2-03orig	1.5	1	24.779514872148287	348.1989233511554	396.7658800549406	299.6319666473701	0.25407875250825496	0.2186397234220691	0.2895177815944408	solo
2-03	2-03orig	1.55	1	23.73593807398902	317.6965384872586	364.2181222515501	271.1749547229671	0.23182133763701548	0.19787480542554461	0.2657678698484864	solo
2-03	2-03orig	1.6	1	22.60409429594	289.7975019928392	334.10071271602885	245.49429126964955	0.21146357110384442	0.17913577294662184	0.243791369261067	solo
2-03	2-03orig	1.6500000000000001	1	21.419255938478184	264.4702074928137	306.4511777078766	222.4892372777508	0.19298238991855424	0.1623491173091144	0.22361566252799406	solo
2-03	2-03orig	1.7000000000000002	1	20.214255673680046	241.6236234841175	281.24283657881483	202.00441038942017	0.176311368916716	0.14740145689982115	0.20522128093361086	solo
2-03	2-03orig	1.75	1	19.017546561847563	221.1217053326718	258.3954116682066	183.84799899713707	0.16135123711098856	0.13415282789149524	0.18854964633048188	solo
2-03	2-03orig	1.8	1	17.852136940432676	202.79799162038213	237.78753707070723	167.80844617005704	0.14798052856160637	0.12244885840798012	0.17351219871523263	solo
2-03	2-03orig	1.85	1	16.735311190127597	186.4689003848341	219.2695075875543	153.66829318211387	0.1360652845660429	0.11213087006707632	0.1599996990650094	solo
2-03	2-03orig	1.9000000000000001	1	15.678945758494121	171.94482608356893	202.67499508577444	141.2146570813634	0.12546715105004386	0.10304352340265435	0.14789077869743333	solo
2-03	2-03orig	1.9500000000000002	1	14.690199649215081	159.03868104278666	187.83094328095115	130.24641880462218	0.11604961121363964	0.095040062990580515	0.13705915943669877	solo
