AGE_WEEKS	INDIVIDUAL	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
16	1009	2.0500000000000003	1	0.266632232589769	4.578499698289068	5.101089271282522	4.055910125295615	0.04956937057980597	0.043911526763733374	0.05522721439587857	solo
16	1009	2.1	1	0.261132771231476	4.498972207584266	5.010783034381096	3.9871613807874366	0.048708361970478876	0.04316721482358063	0.054249509117377116	solo
16	1009	2.15	1	0.25607556970381035	4.4250873007266565	4.926986194666701	3.923188406786612	0.04790844309538363	0.04247460801691771	0.05334227817384955	solo
16	1009	2.2	1	0.25140898500189995	4.35626686444998	4.849019420443474	3.8635143084564856	0.04716335498048492	0.041828543216422646	0.0524981667445472	solo
16	1009	2.25	1	0.24708875066828934	4.292007765189373	4.776292817484217	3.807722712894529	0.046467650423473846	0.041224512538713363	0.05171078830823432	solo
16	1009	2.3000000000000003	1	0.24307677275413367	4.231870474294897	4.708292194371227	3.7554487542185684	0.04581657084403698	0.040658565743904036	0.050974575944169924	solo
16	1009	2.35	1	0.2393401419676654	4.1754696141804635	4.644567672491791	3.706371555869136	0.045205943931234754	0.04012722884485155	0.05028465901761795	solo
16	1009	2.4000000000000004	1	0.23585032036535683	4.122466075795272	4.584724209453604	3.660207942136939	0.04463209830288659	0.03962743602467306	0.049636760581100135	solo
16	1009	2.45	1	0.23258246939084448	4.072560424829348	4.528413688270793	3.6167071613879034	0.04409179211750435	0.039156472507461154	0.04902711172754755	solo
16	1009	2.5	1	0.22951489274048928	4.025487367805581	4.475328291492513	3.5756464441186484	0.04358215316114329	0.03871192646733519	0.0484523798549514	solo
16	1009	2.5500000000000003	1	0.22662857281144033	3.9810110923371003	4.425194932915237	3.536827251758964	0.043100628398450726	0.03829164841590165	0.0479096083809998	solo
16	1009	2.6	1	0.22390678366747316	3.938921330480704	4.377770562363152	3.500072098598255	0.04264494135235238	0.03789371679467177	0.047396165910033	solo
16	1009	2.6500000000000004	1	0.2213347667748501	3.899030022003667	4.3328381934089455	3.4652218505983883	0.042213055978733045	0.03751640873051505	0.04690970322695103	solo
