event	h	id
vd_ins	1.9495454241890395	1-10
dj_ins	1.914559213242745	1-10
vd_dinucl	3.6283530388823735	1-10
dj_dinucl	3.111709795514085	1-10
model	25.71026228364572	2-01
v_choice	3.476439652931868	2-01
d_gene	1.4323227146850606	2-01
j_choice	2.3370290975434322	2-01
v_3_del	2.558195944176947	2-01
d_3_del	1.830583258240579	2-01
d_5_del	2.746691403268304	2-01
j_5_del	2.418961308623029	2-01
vd_ins	1.7815978561653705	2-01
dj_ins	1.763314084969771	2-01
vd_dinucl	2.9327006593643494	2-01
dj_dinucl	2.4324263036770097	2-01
model	28.12830126585989	2-02
v_choice	3.377415868407028	2-02
d_gene	1.8860304504026102	2-02
j_choice	2.452273006065535	2-02
v_3_del	2.728866298013436	2-02
d_3_del	2.021227957910311	2-02
d_5_del	2.8990234383222107	2-02
j_5_del	2.646728152339658	2-02
vd_ins	1.9845399903925947	2-02
dj_ins	1.7914659321287478	2-02
vd_dinucl	3.5030289320113015	2-02
dj_dinucl	2.837701239866457	2-02
model	29.67912123861653	2-03
v_choice	3.5154276570600826	2-03
d_gene	1.9537437877226769	2-03
j_choice	2.430408569791889	2-03
v_3_del	2.834109674214903	2-03
d_3_del	2.0729855563348907	2-03
d_5_del	3.036164738857213	2-03
j_5_del	2.6474655827468876	2-03
vd_ins	2.0092625178639825	2-03
dj_ins	1.9716305202902809	2-03
vd_dinucl	3.771675726419394	2-03
dj_dinucl	3.4362469073143354	2-03
model	27.865699109879877	2-04
v_choice	3.4347659600950387	2-04
d_gene	1.8523431784708253	2-04
j_choice	2.330596450416091	2-04
v_3_del	2.763464319637502	2-04
d_3_del	1.9684333617300303	2-04
d_5_del	3.0497744061734307	2-04
j_5_del	2.6310320364461433	2-04
vd_ins	1.9840744957274987	2-04
dj_ins	1.7732922124006691	2-04
vd_dinucl	3.551752369395596	2-04
dj_dinucl	2.5261703193870524	2-04
model	27.753137644516485	2-05
v_choice	3.4579764560689825	2-05
d_gene	1.53952968193953	2-05
j_choice	2.333338207664731	2-05
v_3_del	2.765469813453968	2-05
d_3_del	1.8462779456628864	2-05
d_5_del	2.741157949784308	2-05
j_5_del	2.655382631901019	2-05
vd_ins	1.9727990617570945	2-05
dj_ins	1.80611060293635	2-05
vd_dinucl	3.3992747471629206	2-05
dj_dinucl	3.235820546184697	2-05
model	27.350469068061155	2-06
v_choice	3.4768109231018367	2-06
d_gene	1.3376049102219203	2-06
j_choice	2.3311378223058243	2-06
v_3_del	2.528981565562418	2-06
d_3_del	1.671103559120368	2-06
d_5_del	2.7572561723453783	2-06
j_5_del	2.589984145647964	2-06
vd_ins	1.6895458430140324	2-06
dj_ins	1.8615170534061385	2-06
vd_dinucl	2.693096747344906	2-06
dj_dinucl	4.413430325990369	2-06
model	26.809083801988066	2-07
v_choice	3.4416156592563905	2-07
d_gene	1.784938261044278	2-07
j_choice	2.418445725295463	2-07
v_3_del	2.7594521539095274	2-07
d_3_del	1.9522533506105062	2-07
d_5_del	3.0316090584174376	2-07
j_5_del	2.558214362704277	2-07
vd_ins	1.794022023500858	2-07
dj_ins	1.78524854914071	2-07
