id	p	v	d	j
2-03	0.0	IGHV5-01*01	NA	IGHJ1-04*01
2-03	0.0	IGHV2-04*01	NA	IGHJ1-04*01
2-03	0.0	IGHV6-01*01	NA	IGHJ1-04*01
2-03	0.00070571849392	IGHV1-06*01	NA	IGHJ1-04*01
2-03	0.0	IGHV4-02*01	NA	IGHJ1-04*01
2-03	0.0	IGHV2-05*01	NA	IGHJ1-04*01
2-03	0.0028228691768	IGHV1-07*01	NA	IGHJ1-04*01
2-03	0.0	IGHV2-02*02	NA	IGHJ1-04*01
2-03	0.005372394148799999	IGHV4-01*02	NA	IGHJ1-04*01
2-03	0.0028228691768	IGHV5-01*02	NA	IGHJ1-04*01
2-03	0.0035285924695999996	IGHV1-03*02	NA	IGHJ1-04*01
2-03	0.0023904948876799998	IGHV1-02*02	NA	IGHJ1-04*01
2-03	0.0	IGHV2-01*02	NA	IGHJ1-04*01
2-03	0.0063514616464	IGHV1-01*02	NA	IGHJ1-04*01
2-03	0.0	IGHV1-01*01	NA	IGHJ1-05*24
2-03	0.00011513514463399998	IGHV1-02*01	NA	IGHJ1-05*24
2-03	0.0	IGHV2-01*01	NA	IGHJ1-05*24
2-03	0.0	IGHV1-03*01	NA	IGHJ1-05*24
2-03	0.004906596058399999	IGHV3-01*01	NA	IGHJ1-05*24
2-03	0.0	IGHV2-02*01	NA	IGHJ1-05*24
2-03	0.0025468645456999998	IGHV4-01*01	NA	IGHJ1-05*24
2-03	0.00209039966507	IGHV1-04*01	NA	IGHJ1-05*24
2-03	0.0015292708438899999	IGHV2-03*01	NA	IGHJ1-05*24
2-03	0.0042049960665	IGHV1-05*01	NA	IGHJ1-05*24
2-03	0.0	IGHV5-01*01	NA	IGHJ1-05*24
2-03	0.007511639050099999	IGHV2-04*01	NA	IGHJ1-05*24
2-03	0.0	IGHV6-01*01	NA	IGHJ1-05*24
2-03	0.00141143363215	IGHV1-06*01	NA	IGHJ1-05*24
2-03	0.0	IGHV4-02*01	NA	IGHJ1-05*24
2-03	0.0	IGHV2-05*01	NA	IGHJ1-05*24
2-03	0.00141143363215	IGHV1-07*01	NA	IGHJ1-05*24
2-03	0.0	IGHV2-02*02	NA	IGHJ1-05*24
2-03	0.0006663393685	IGHV4-01*02	NA	IGHJ1-05*24
2-03	0.0049400085735	IGHV5-01*02	NA	IGHJ1-05*24
2-03	0.0035285775525	IGHV1-03*02	NA	IGHJ1-05*24
2-03	0.0035679536944999996	IGHV1-02*02	NA	IGHJ1-05*24
2-03	0.0	IGHV2-01*02	NA	IGHJ1-05*24
2-03	0.0105857326575	IGHV1-01*02	NA	IGHJ1-05*24
2-03	0.0	IGHV1-01*01	NA	IGHJ1-06*01
2-03	0.0	IGHV1-02*01	NA	IGHJ1-06*01
2-03	0.0	IGHV2-01*01	NA	IGHJ1-06*01
2-03	0.0	IGHV1-03*01	NA	IGHJ1-06*01
2-03	0.0035285820165	IGHV3-01*01	NA	IGHJ1-06*01
2-03	0.0	IGHV2-02*01	NA	IGHJ1-06*01
2-03	0.00041625194804999996	IGHV4-01*01	NA	IGHJ1-06*01
2-03	0.0028228688595	IGHV1-04*01	NA	IGHJ1-06*01
2-03	0.0035285820165	IGHV2-03*01	NA	IGHJ1-06*01
2-03	0.0031123414305	IGHV1-05*01	NA	IGHJ1-06*01
2-03	0.0	IGHV5-01*01	NA	IGHJ1-06*01
2-03	0.0028228688595	IGHV2-04*01	NA	IGHJ1-06*01
2-03	0.0	IGHV6-01*01	NA	IGHJ1-06*01
2-03	0.0007057143542399999	IGHV1-06*01	NA	IGHJ1-06*01
2-03	0.0	IGHV4-02*01	NA	IGHJ1-06*01
2-03	0.0	IGHV2-05*01	NA	IGHJ1-06*01
2-03	0.00423459099648	IGHV1-07*01	NA	IGHJ1-06*01
2-03	0.0	IGHV2-02*02	NA	IGHJ1-06*01
2-03	0.0030394005417599995	IGHV4-01*02	NA	IGHJ1-06*01
2-03	0.0112914635424	IGHV5-01*02	NA	IGHJ1-06*01
2-03	0.0084685835424	IGHV1-03*02	NA	IGHJ1-06*01
2-03	0.006840628646399999	IGHV1-02*02	NA	IGHJ1-06*01
2-03	0.0	IGHV2-01*02	NA	IGHJ1-06*01
2-03	0.0218772070848	IGHV1-01*02	NA	IGHJ1-06*01
2-03	0.0	IGHV1-01*01	NA	IGHJ1-07*01
2-03	0.0	IGHV1-02*01	NA	IGHJ1-07*01
2-03	0.0	IGHV2-01*01	NA	IGHJ1-07*01
2-03	0.0	IGHV1-03*01	NA	IGHJ1-07*01
2-03	0.0	IGHV3-01*01	NA	IGHJ1-07*01
2-03	0.0	IGHV2-02*01	NA	IGHJ1-07*01
2-03	0.0	IGHV4-01*01	NA	IGHJ1-07*01
2-03	0.0	IGHV1-04*01	NA	IGHJ1-07*01
2-03	0.0	IGHV2-03*01	NA	IGHJ1-07*01
2-03	0.0	IGHV1-05*01	NA	IGHJ1-07*01
2-03	0.0	IGHV5-01*01	NA	IGHJ1-07*01
2-03	0.0	IGHV2-04*01	NA	IGHJ1-07*01
2-03	0.0	IGHV6-01*01	NA	IGHJ1-07*01
2-03	0.0042343029069	IGHV1-06*01	NA	IGHJ1-07*01
2-03	0.0	IGHV4-02*01	NA	IGHJ1-07*01
2-03	3.4504060646e-09	IGHV2-05*01	NA	IGHJ1-07*01
2-03	0.016231488372000002	IGHV1-07*01	NA	IGHJ1-07*01
2-03	0.0	IGHV2-02*02	NA	IGHJ1-07*01
2-03	0.0085414319023	IGHV4-01*02	NA	IGHJ1-07*01
2-03	0.016937162792	IGHV5-01*02	NA	IGHJ1-07*01
2-03	0.015525813952	IGHV1-03*02	NA	IGHJ1-07*01
2-03	0.0119243471677	IGHV1-02*02	NA	IGHJ1-07*01
2-03	0.0	IGHV2-01*02	NA	IGHJ1-07*01
2-03	0.048694465116	IGHV1-01*02	NA	IGHJ1-07*01
2-03	0.0	IGHV1-01*01	NA	IGHJ1-08*27
2-03	0.0	IGHV1-02*01	NA	IGHJ1-08*27
2-03	0.0	IGHV2-01*01	NA	IGHJ1-08*27
2-03	0.0	IGHV1-03*01	NA	IGHJ1-08*27
2-03	0.0	IGHV3-01*01	NA	IGHJ1-08*27
2-03	0.0	IGHV2-02*01	NA	IGHJ1-08*27
2-03	0.0	IGHV4-01*01	NA	IGHJ1-08*27
2-03	0.0	IGHV1-04*01	NA	IGHJ1-08*27
2-03	0.0	IGHV2-03*01	NA	IGHJ1-08*27
2-03	0.0	IGHV1-05*01	NA	IGHJ1-08*27
2-03	0.0	IGHV5-01*01	NA	IGHJ1-08*27
2-03	0.0	IGHV2-04*01	NA	IGHJ1-08*27
2-03	0.0	IGHV6-01*01	NA	IGHJ1-08*27
