id	p	v	d	j
39	0.0051847925490000005	IGHV3-01*01	NA	IGHJ1-03*22
39	0.0001672519466	IGHV2-02*01	NA	IGHJ1-03*22
39	0.0031258638735	IGHV4-01*01	NA	IGHJ1-03*22
39	0.007693571748	IGHV1-04*01	NA	IGHJ1-03*22
39	0.00551930534	IGHV2-03*01	NA	IGHJ1-03*22
39	0.0044004692746	IGHV1-05*01	NA	IGHJ1-03*22
39	0.0	IGHV5-01*01	NA	IGHJ1-03*22
39	0.016892428811	IGHV2-04*01	NA	IGHJ1-03*22
39	0.0	IGHV6-01*01	NA	IGHJ1-03*22
39	0.0013380177235100001	IGHV1-06*01	NA	IGHJ1-03*22
39	0.0	IGHV4-02*01	NA	IGHJ1-03*22
39	3.4391637526999997e-09	IGHV2-05*01	NA	IGHJ1-03*22
39	0.0013380177235100001	IGHV1-07*01	NA	IGHJ1-03*22
39	0.0	IGHV2-02*02	NA	IGHJ1-03*22
39	0.0028300359958	IGHV4-01*02	NA	IGHJ1-03*22
39	0.0045158139208	IGHV5-01*02	NA	IGHJ1-03*22
39	0.0031777987228	IGHV1-03*02	NA	IGHJ1-03*22
39	0.00202028677552	IGHV1-02*02	NA	IGHJ1-03*22
39	0.0	IGHV2-01*02	NA	IGHJ1-03*22
39	0.010035139240099999	IGHV1-01*02	NA	IGHJ1-03*22
39	0.0	IGHV1-01*01	NA	IGHJ1-04*01
39	0.0	IGHV1-02*01	NA	IGHJ1-04*01
39	0.0	IGHV2-01*01	NA	IGHJ1-04*01
39	0.0	IGHV1-03*01	NA	IGHJ1-04*01
39	0.0	IGHV3-01*01	NA	IGHJ1-04*01
39	0.0	IGHV2-02*01	NA	IGHJ1-04*01
39	0.0	IGHV4-01*01	NA	IGHJ1-04*01
39	0.0	IGHV1-04*01	NA	IGHJ1-04*01
39	0.0	IGHV2-03*01	NA	IGHJ1-04*01
39	0.0	IGHV1-05*01	NA	IGHJ1-04*01
39	0.0	IGHV5-01*01	NA	IGHJ1-04*01
39	0.0	IGHV2-04*01	NA	IGHJ1-04*01
39	0.0	IGHV6-01*01	NA	IGHJ1-04*01
39	0.000167252281415	IGHV1-06*01	NA	IGHJ1-04*01
39	0.0	IGHV4-02*01	NA	IGHJ1-04*01
39	1.75802224805e-08	IGHV2-05*01	NA	IGHJ1-04*01
39	0.0026760447515	IGHV1-07*01	NA	IGHJ1-04*01
39	0.0	IGHV2-02*02	NA	IGHJ1-04*01
39	0.0029128557739999997	IGHV4-01*02	NA	IGHJ1-04*01
39	0.002675976011	IGHV5-01*02	NA	IGHJ1-04*01
39	0.00200702783525	IGHV1-03*02	NA	IGHJ1-04*01
39	0.0026064793655	IGHV1-02*02	NA	IGHJ1-04*01
39	0.0	IGHV2-01*02	NA	IGHJ1-04*01
39	0.0098678591695	IGHV1-01*02	NA	IGHJ1-04*01
39	0.0	IGHV1-01*01	NA	IGHJ1-05*24
39	0.00083033903942	IGHV1-02*01	NA	IGHJ1-05*24
39	0.0	IGHV2-01*01	NA	IGHJ1-05*24
39	0.0	IGHV1-03*01	NA	IGHJ1-05*24
39	0.0027731667831999997	IGHV3-01*01	NA	IGHJ1-05*24
39	0.0	IGHV2-02*01	NA	IGHJ1-05*24
39	0.0011849130519599998	IGHV4-01*01	NA	IGHJ1-05*24
39	0.0041563215254	IGHV1-04*01	NA	IGHJ1-05*24
39	0.0019557227532699998	IGHV2-03*01	NA	IGHJ1-05*24
39	0.0014164290801099999	IGHV1-05*01	NA	IGHJ1-05*24
39	0.0	IGHV5-01*01	NA	IGHJ1-05*24
39	0.0111669936763	IGHV2-04*01	NA	IGHJ1-05*24
39	0.0	IGHV6-01*01	NA	IGHJ1-05*24
39	0.0008362575198400001	IGHV1-06*01	NA	IGHJ1-05*24
39	0.0	IGHV4-02*01	NA	IGHJ1-05*24
39	0.00016725186523200002	IGHV2-05*01	NA	IGHJ1-05*24
39	0.004348534768000001	IGHV1-07*01	NA	IGHJ1-05*24
39	0.0	IGHV2-02*02	NA	IGHJ1-05*24
39	0.0018832620067200001	IGHV4-01*02	NA	IGHJ1-05*24
39	0.004683065232	IGHV5-01*02	NA	IGHJ1-05*24
39	0.00301053212912	IGHV1-03*02	NA	IGHJ1-05*24
39	0.0058103172912000005	IGHV1-02*02	NA	IGHJ1-05*24
39	0.0	IGHV2-01*02	NA	IGHJ1-05*24
39	0.015387173046400002	IGHV1-01*02	NA	IGHJ1-05*24
39	0.0	IGHV1-01*01	NA	IGHJ1-06*01
39	0.0	IGHV1-02*01	NA	IGHJ1-06*01
39	0.0	IGHV2-01*01	NA	IGHJ1-06*01
39	0.0	IGHV1-03*01	NA	IGHJ1-06*01
39	0.0015052664195999998	IGHV3-01*01	NA	IGHJ1-06*01
39	0.0	IGHV2-02*01	NA	IGHJ1-06*01
39	0.00101618167707	IGHV4-01*01	NA	IGHJ1-06*01
39	0.0023415240735	IGHV1-04*01	NA	IGHJ1-06*01
39	0.00100351182726	IGHV2-03*01	NA	IGHJ1-06*01
39	0.00115809350823	IGHV1-05*01	NA	IGHJ1-06*01
39	0.0	IGHV5-01*01	NA	IGHJ1-06*01
39	0.0061883145666	IGHV2-04*01	NA	IGHJ1-06*01
39	0.0	IGHV6-01*01	NA	IGHJ1-06*01
39	0.00167251678275	IGHV1-06*01	NA	IGHJ1-06*01
39	0.0	IGHV4-02*01	NA	IGHJ1-06*01
39	0.00016725473897	IGHV2-05*01	NA	IGHJ1-06*01
39	0.007359073844100001	IGHV1-07*01	NA	IGHJ1-06*01
39	0.0	IGHV2-02*02	NA	IGHJ1-06*01
