id	p	v	d	j
56	0.0018222490746299998	IGHV1-02*02	NA	IGHJ1-03*22
56	0.0	IGHV2-01*02	NA	IGHJ1-03*22
56	0.010871815026299999	IGHV1-01*02	NA	IGHJ1-03*22
56	0.0	IGHV1-01*01	NA	IGHJ1-04*01
56	0.0	IGHV1-02*01	NA	IGHJ1-04*01
56	0.0	IGHV2-01*01	NA	IGHJ1-04*01
56	0.0	IGHV1-03*01	NA	IGHJ1-04*01
56	0.0	IGHV3-01*01	NA	IGHJ1-04*01
56	0.0	IGHV2-02*01	NA	IGHJ1-04*01
56	0.0	IGHV4-01*01	NA	IGHJ1-04*01
56	0.0	IGHV1-04*01	NA	IGHJ1-04*01
56	0.0	IGHV2-03*01	NA	IGHJ1-04*01
56	0.0	IGHV1-05*01	NA	IGHJ1-04*01
56	0.0	IGHV5-01*01	NA	IGHJ1-04*01
56	0.0	IGHV2-04*01	NA	IGHJ1-04*01
56	0.0	IGHV6-01*01	NA	IGHJ1-04*01
56	0.0006395047169399999	IGHV1-06*01	NA	IGHJ1-04*01
56	0.0	IGHV4-02*01	NA	IGHJ1-04*01
56	5.405270531399999e-10	IGHV2-05*01	NA	IGHJ1-04*01
56	0.0034107865299	IGHV1-07*01	NA	IGHJ1-04*01
56	0.0	IGHV2-02*02	NA	IGHJ1-04*01
56	0.004427902341	IGHV4-01*02	NA	IGHJ1-04*01
56	0.0053293702608	IGHV5-01*02	NA	IGHJ1-04*01
56	0.0029844345897	IGHV1-03*02	NA	IGHJ1-04*01
56	0.00132779666664	IGHV1-02*02	NA	IGHJ1-04*01
56	0.0	IGHV2-01*02	NA	IGHJ1-04*01
56	0.0108718875	IGHV1-01*02	NA	IGHJ1-04*01
56	0.0	IGHV1-01*01	NA	IGHJ1-05*24
56	0.0003907409706	IGHV1-02*01	NA	IGHJ1-05*24
56	0.0	IGHV2-01*01	NA	IGHJ1-05*24
56	5.689481173799999e-05	IGHV1-03*01	NA	IGHJ1-05*24
56	0.0042370590173999995	IGHV3-01*01	NA	IGHJ1-05*24
56	0.0	IGHV2-02*01	NA	IGHJ1-05*24
56	0.00199098731967	IGHV4-01*01	NA	IGHJ1-05*24
56	0.0033085886217	IGHV1-04*01	NA	IGHJ1-05*24
56	0.00242472741963	IGHV2-03*01	NA	IGHJ1-05*24
56	0.0039200926335	IGHV1-05*01	NA	IGHJ1-05*24
56	0.0	IGHV5-01*01	NA	IGHJ1-05*24
56	0.0103718043996	IGHV2-04*01	NA	IGHJ1-05*24
56	0.0	IGHV6-01*01	NA	IGHJ1-05*24
56	0.0008526980820599999	IGHV1-06*01	NA	IGHJ1-05*24
56	0.0	IGHV4-02*01	NA	IGHJ1-05*24
56	0.0	IGHV2-05*01	NA	IGHJ1-05*24
56	0.0031976105598	IGHV1-07*01	NA	IGHJ1-05*24
56	0.0	IGHV2-02*02	NA	IGHJ1-05*24
56	0.00156283817688	IGHV4-01*02	NA	IGHJ1-05*24
56	0.0042634904103	IGHV5-01*02	NA	IGHJ1-05*24
56	0.0031976105598	IGHV1-03*02	NA	IGHJ1-05*24
56	0.0035533387188	IGHV1-02*02	NA	IGHJ1-05*24
56	0.0	IGHV2-01*02	NA	IGHJ1-05*24
56	0.012364119290699999	IGHV1-01*02	NA	IGHJ1-05*24
56	0.0	IGHV1-01*01	NA	IGHJ1-06*01
56	0.000213174136	IGHV1-02*01	NA	IGHJ1-06*01
